endereco,fim,tamanho,n_insn,chamadores,chama,strings,perifericos,globais_ram,papel_inferido
0x08008A38,0x08008ACC,0x94,71,0x0800811C 0x0800E8CC 0x0800EB12 0x0800EB60 0x080111C0 0x08011284 0x080125AC 0x080126F0,0x08011BB0 0x08009854 0x0800910C,,,0x200000B4 0x200001AC 0x200000B6,"LoRaMac: evento/envio com descritor {buf,len,tipo,porta}"
0x08008ACC,0x08008B00,0x34,20,0x0801281C,0x08008B02 0x08008B4A 0x08008B10 0x08008B4C 0x08008B00 0x08008B48,,,0x20000274,
0x08008B00,0x08008B02,0x2,1,0x08008AF0,,,,,
0x08008B02,0x08008B10,0xE,6,0x08008AD6,0x0800537C,,,,
0x08008B10,0x08008B48,0x38,23,0x08008AE6,0x0800796C 0x08012F00 0x080053AC,,PWR+0x0,,
0x08008B48,0x08008B4A,0x2,1,0x08008AF4,,,,,
0x08008B4A,0x08008B4C,0x2,1,0x08008ADA,,,,,
0x08008B4C,0x08008BA4,0x58,40,0x08008AEA,0x080079E0 0x08012F3C,,RCC+0x0,,
0x08008BA4,0x08008BCC,0x28,18,0x080076DE,,,,0x20000274,
0x08008BCC,0x08008BF4,0x28,18,0x080124BC,,,,0x20000274,LoRaMac: SetMaxNbTrans(1)
0x08008BF4,0x08008C1C,0x28,18,0x08007688 0x080076DA 0x0800F0BC 0x0800F122,,,,0x20000274,
0x08008C1C,0x08008CAC,0x90,67,0x08001E6C,0x08013B6C 0x08005054 0x08004EFC,,,0x20000560,
0x08008CAC,0x08008D44,0x98,67,0x08001E68,0x08013B6C 0x08005054,,,0x20000560,
0x08008D44,0x08008DC0,0x7C,56,0x08009CC0 0x08009DAA 0x0800A1E4 0x0800A224 0x0800ABC0,0x08001548 0x08001568 0x08001578 0x0800140C 0x080002AE,,,0x20000250 0x20001678 0x20001574,
0x08008DC0,0x08008FFC,0x23C,260,0x08008204,0x0800C3AC 0x0800C38A 0x0800C39E 0x0800C48C 0x0800EE84 0x0800EF54 0x0800EE60 0x08013238,,,0x200001D8 0x2000144C,
0x08008FFC,0x08009044,0x48,31,0x0800A00C 0x0800AA00,0x08001548 0x08001568 0x08001578 0x0800140C 0x080002AE,,,0x20001678 0x20001574,
0x08009044,0x080090CC,0x88,58,0x0800A03E,0x08012898 0x08010238 0x08012868 0x080101E2,,,0x20001584,
0x080090CC,0x0800910C,0x40,28,0x08009FF6,0x08012898 0x08010238 0x080101E2,,,0x20001584,
0x0800910C,0x08009238,0x12C,146,0x08008A98 0x08011E18,0x08012898 0x0800C38A 0x0800C476 0x0800E8F0,,,0x200001D8 0x20001544 0x20001434,
0x08009238,0x08009330,0xF8,122,0x08003392 0x080033AC 0x080033EC 0x0800340C 0x08003438 0x0800345E 0x0800346E 0x08003492,0x0800F8DE 0x0800C38A,,,0x20001414 0x200001D8 0x200010F4,
0x08009330,0x080095B8,0x288,310,0x08003172 0x08003186 0x080031BE 0x080031DA 0x080031F4 0x08003202 0x08003212 0x08003222,0x0800F8DE 0x0800A72C 0x08012868 0x0800C476 0x0800C35E 0x0800C406 0x0800C5A4 0x0800BF26,,,0x200001D8 0x20001414 0x200010F4,
0x080095B8,0x0800975C,0x1A4,199,0x080083C4 0x08011CF8 0x08011D58,0x08012898 0x0800C39E 0x0800C38A 0x0800C476 0x0800C48C 0x0800BEDE 0x0800E8F0 0x08001638 0x0800EB70 0x0800EBC4,,,0x200001D8 0x20001558 0x200000AA 0x20001414,
0x0800975C,0x0800976C,0x10,7,0x0800A394 0x0800A3E2,0x0800976C,,,,
0x0800976C,0x08009854,0xE8,112,0x08009766 0x08009CA0 0x08009D8E 0x0800AB72,0x08012898 0x08010238 0x080101E2,,,0x20000144 0x20001584 0x20000260,
0x08009854,0x08009920,0xCC,99,0x08008A54 0x08011DDA,0x0800BEC0 0x0800C38A 0x0800F70C,,,0x2000144C 0x200001D8 0x20000146,
0x08009920,0x08009940,0x20,15,0x080031A8 0x080123BC,0x0800C476,,,0x200001D8,
0x08009940,0x08009A54,0x114,133,0x080073D2,0x08011BB0 0x08011B8C 0x08011BBC 0x08011B9C,,,0x200000AA 0x200000A8 0x200000A9 0x200000B1 0x20000D3C 0x200001AC 0x200000A7 0x20000144,
0x08009A54,0x08009A58,0x4,2,,,,,,
0x08009A58,0x08009A9C,0x44,33,0x08005346,,,,,
0x08009A9C,0x08009AB8,0x1C,11,0x080125CC,,,,,LoRaMac: consulta de estado do radio
0x08009AB8,0x08009AD4,0x1C,11,0x080109D2 0x0801175C,,,,,
0x08009AD4,0x08009AF0,0x1C,11,0x08008282 0x08012B1C,,,,,
0x08009AF0,0x0800A72C,0xC3C,1501,0x0800AC2E,0x0800EFE8 0x0800F06C 0x08011D90 0x080123FC 0x0800EF54 0x0800EF78 0x0800976C 0x08008D44 0x0800A7A4 0x0800C38A 0x0800E08C 0x0800C39E,On Certif tx next packet\r,,0x20001518 0x200001D8 0x20000094 0x200008A0 0x20000864 0x20001484 0x200001FC 0x200000B7,
0x0800A72C,0x0800A7A4,0x78,57,0x080093A4 0x08009EC6 0x0800A4B2 0x0800A512 0x0800A580 0x0800A66E,0x0800EFE8 0x0800C406 0x0800C5A4,,,0x200014DC 0x200001D8 0x20000129 0x20000128,
0x0800A7A4,0x0800A818,0x74,53,0x08009CE4,0x0800EFE8 0x0800C48C 0x0800BEDE 0x0800A970 0x0800E08C,,,0x200014B4 0x200001D8,
0x0800A818,0x0800A854,0x3C,28,0x0800A8EE,0x0800EF54 0x0800EF78,,,0x20000094 0x2000083C 0x20000218,
0x0800A854,0x0800A918,0xC4,81,0x08008196,0x0800EFE8 0x0800EF54 0x0800EF78 0x08012414 0x0800EE84 0x08004852 0x0800A818,,,0x20000094 0x20000850,
0x0800A918,0x0800A96C,0x54,41,0x0800AB3A,0x0800F8DE,,,,
0x0800A96C,0x0800A970,0x4,2,,,,,,
0x0800A970,0x0800AC18,0x2A8,331,0x0800A804 0x0800E90E,0x0801287E 0x08008FFC 0x0800BEC0 0x08012868 0x0800A918 0x0800976C 0x08008D44,,,0x200001D8 0x20001114 0x20001414 0x20001312 0x200000B7 0x200000B5,
0x0800AC18,0x0800AC58,0x40,29,0x08009FAC 0x08009FDC 0x0800A126 0x0800A178 0x0800A2BE 0x0800A2EC,0x08009AF0 0x0800EF54 0x0800EF78,,,0x200001D8 0x20001484,
0x0800AC58,0x0800B18C,0x534,639,0x0800A37E 0x0800A410,0x0800F8DE 0x0800C3B4 0x0800F06C 0x08009238 0x08001638 0x080000F0 0x0800C41C 0x08012078 0x0800C3D6 0x0800C464 0x08000972 0x0800C378,ADR Message:\r\n | Channel is  | CH%d_%d  | TX Datarate too small for this payload s,,0x20001434 0x200000AC 0x20001558 0x200001D8 0x200000B8 0x20000124,
0x0800B18C,0x0800B1FC,0x70,56,0x08005ABA 0x08005AF8,,,FLASH+0x0 PWR+0x0 RCC+0x0,,
0x0800B1FC,0x0800B204,0x8,3,,0x08013A80,,,,
0x0800B204,0x0800B214,0x10,8,0x08005ECE 0x08005ED6 0x08005EDE 0x08005F26 0x08005F2E 0x08005F36 0x08006070 0x08006076,,,,,
0x0800B214,0x0800B22A,0x16,11,0x080060E6 0x080060EE 0x080060F8 0x08006106 0x08006232 0x0800623A 0x08006244 0x080062EA,,,,,
0x0800B22A,0x0800B262,0x38,26,0x08005F76 0x0800625E 0x08006332,0x08004BBC,,,,
0x0800B262,0x0800B26A,0x8,3,,0x08007680,,,,
0x0800B26A,0x0800B2C8,0x5E,46,0x0800BED8,0x0800B4D4,,,,
0x0800B2C8,0x0800B2E0,0x18,11,0x0800BEEA,0x080000F0,,,,
0x0800B2E0,0x0800B3CC,0xEC,116,0x0800BEF8,0x0800BFBA,,,0x200010D0 0x200001C4,
0x0800B3CC,0x0800B3E4,0x18,12,0x0800BF12,,,,,
0x0800B3E4,0x0800B41C,0x38,27,0x0800BF20,0x0800BF38,,,0x20000D64 0x200001C8,
0x0800B41C,0x0800B478,0x5C,43,0x0800BF32,0x0800C160 0x0800BFBA,,,0x200010C4,
0x0800B478,0x0800B4D0,0x58,41,0x0800C372,0x08003E4C 0x0800C0C8 0x0800C038,,,,
0x0800B4D0,0x0800B4D4,0x4,2,0x0800C384,,,,,
0x0800B4D4,0x0800B5F4,0x120,141,0x0800B2B4 0x0800B7E4 0x0800C398,0x0800F8DE 0x08003F40 0x08012FB4,,,0x2000012A 0x200010C4 0x20000D64,
0x0800B5F4,0x0800B764,0x170,179,0x0800C3A6,0x08012078 0x0800BFBA 0x08012090,,,0x200010DC 0x200001C4 0x20000D64,
0x0800B764,0x0800B990,0x22C,271,0x0800C3D0,0x0800BFBA 0x0800C250 0x0800C160 0x0800B4D4 0x0800C1B8 0x08012090,,,0x200010C4 0x20000D64 0x2000012A 0x200000BB 0x200001DB,
0x0800B990,0x0800B994,0x4,2,0x0800C3E2,,,,,
0x0800B994,0x0800BAB4,0x120,134,0x0800C400,0x08000250 0x0800C160 0x0800BFBA 0x0800EE6C 0x0800C290 0x08002944 0x08012FB4 0x08002870 0x0800BF94,,,0x200010D0 0x200001C4 0x20000D64,
0x0800BAB4,0x0800BBF0,0x13C,152,0x0800C416,0x0800EE60 0x0800F06C 0x080000F0,[%lu] | RX on freq %d Hz at DR %d\r\n | RX on freq %d.%d MHz at DR %d\r\n,,0x20000124,
0x0800BBF0,0x0800BC84,0x94,71,0x0800C428,0x080000F0 0x0800C34E,,,,
0x0800BC84,0x0800BCAC,0x28,19,0x0800C436,0x0800C286,,,0x20000D64 0x200001C8,
0x0800BCAC,0x0800BCF4,0x48,35,0x0800C444,0x0800C0F4,,,0x20000D64 0x200001C8,
0x0800BCF4,0x0800BE50,0x15C,166,0x0800C45E,0x08003E4C 0x0800C0F4 0x0800EE60 0x0800F06C 0x080000F0,[%lu] | TX on freq %d Hz at DR %d\r\n | TX on freq %d.%d MHz at DR %d\r\n,,0x20000D64 0x200001C8 0x20000124,
0x0800BE50,0x0800BE56,0x6,3,0x0800C470,,,,,
0x0800BE56,0x0800BEC0,0x6A,52,0x0800C486,0x0800C34E,,,,
0x0800BEC0,0x0800BEDE,0x1E,14,0x080098AA 0x0800AA68,0x0800B26A,,,,
0x0800BEDE,0x0800BEF0,0x12,8,0x080096D4 0x0800A7DE,0x0800B2C8,,,,
0x0800BEF0,0x0800BEFE,0xE,6,0x0800A0B4,0x0800B2E0,,,,
0x0800BEFE,0x0800BF18,0x1A,12,0x0800E102,0x0800B3CC,,,,
0x0800BF18,0x0800BF26,0xE,6,0x080024C0,0x0800B3E4,,,,
0x0800BF26,0x0800BF38,0x12,8,0x080094A8,0x0800B41C,,,,
0x0800BF38,0x0800BF94,0x5C,45,0x0800B40C,0x0800C1A4,,,,
0x0800BF94,0x0800BFBA,0x26,19,0x0800BA98,,,,,
0x0800BFBA,0x0800BFD8,0x1E,15,0x0800B356 0x0800B364 0x0800B442 0x0800B46A 0x0800B63E 0x0800B64C 0x0800B77C 0x0800B8E8,,,,,
0x0800BFD8,0x0800C038,0x60,46,0x0800C204,0x0800C34E,,,,
0x0800C038,0x0800C0C8,0x90,56,0x0800B4BE,0x080009A8 0x08000980 0x08000770 0x0800060C 0x08000840 0x08011AC4 0x08000A68 0x08000930 0x08000754 0x08000A20,,,,
0x0800C0C8,0x0800C0F4,0x2C,18,0x0800B49C,0x080009A8 0x08000980 0x08000840 0x08000770,,,,
0x0800C0F4,0x0800C160,0x6C,47,0x0800BCD6 0x0800BD2E,0x0800F8DE 0x08000972 0x0800050E 0x08000506 0x08000AA4 0x08012150 0x08000A20,,,,
0x0800C160,0x0800C1A4,0x44,34,0x0800B426 0x0800B7C8 0x0800B9B2,,,,,
0x0800C1A4,0x0800C1B8,0x14,9,0x0800BF70,,,,,
0x0800C1B8,0x0800C250,0x98,74,0x0800B832,0x0800BFD8 0x0800C34E,,,,
0x0800C250,0x0800C286,0x36,27,0x0800B788,,,,,
0x0800C286,0x0800C290,0xA,5,0x0800BC9C,,,,,
0x0800C290,0x0800C34E,0xBE,89,0x0800B9FE,0x0800EE6C,,,,
